,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
258,COMPUSDT,2021-06-25,223.454,2021-07-05,492.32,1.2032275099125547,10 days,2020-06-25,365 days
259,COMPUSDT,2023-06-14,27.106,2023-07-16,77.53,1.8602523426547626,32 days,2020-06-25,1084 days
260,COSBTC,2020-05-10,5.6e-07,2020-05-26,1.14e-06,1.0357142857142858,16 days,2019-08-03,281 days
261,COSBTC,2021-03-02,2.9e-07,2021-03-24,7.8e-07,1.6896551724137936,22 days,2019-08-03,577 days
262,COSUSDT,2020-05-10,0.005014,2020-05-26,0.01005,1.0043877143996809,16 days,2019-08-03,281 days
263,COSUSDT,2021-01-27,0.00783,2021-02-19,0.01889,1.4125159642401022,23 days,2019-08-03,543 days
264,COSUSDT,2021-02-28,0.013545999999999999,2021-03-28,0.04275,2.155913184703972,28 days,2019-08-03,575 days
265,COTIBTC,2021-02-03,1.82e-06,2021-03-22,9.21e-06,4.060439560439561,47 days,2020-02-26,343 days
266,COTIBTC,2021-08-08,3.8159999999999995e-06,2021-08-25,9.82e-06,1.5733752620545074,17 days,2020-02-26,529 days
267,COTIBTC,2021-09-09,6.628e-06,2021-09-29,1.562e-05,1.3566686783343391,20 days,2020-02-26,561 days
268,COTIUSDT,2020-08-01,0.041004000000000006,2020-08-30,0.08997,1.1941761779338598,29 days,2020-02-26,157 days
269,COTIUSDT,2021-01-27,0.06146,2021-03-30,0.51328,7.351448096322811,62 days,2020-02-26,336 days
270,COTIUSDT,2021-07-30,0.136194,2021-08-25,0.48003,2.524604608132517,26 days,2020-02-26,520 days
271,COTIUSDT,2021-09-21,0.30068,2021-09-29,0.6485,1.1567779699348142,8 days,2020-02-26,573 days
272,CRVBTC,2020-11-05,2.472e-05,2020-11-17,4.95e-05,1.0024271844660193,12 days,2020-08-15,82 days
273,CRVBTC,2021-01-08,1.778e-05,2021-02-05,8.53e-05,3.7975253093363333,28 days,2020-08-15,146 days
274,CRVUSDT,2020-11-04,0.3576,2020-11-17,0.876,1.4496644295302015,13 days,2020-08-15,81 days
275,CRVUSDT,2020-12-23,0.4708,2021-02-11,3.562,6.565845369583687,50 days,2020-08-15,130 days
276,CRVUSDT,2022-06-30,0.7584,2022-07-28,1.544,1.0358649789029537,28 days,2020-08-15,684 days
277,CRVUSDT,2022-12-31,0.5274,2023-02-20,1.269,1.4061433447098974,51 days,2020-08-15,868 days
278,CTKBTC,2021-08-08,2.851e-05,2021-08-24,5.795e-05,1.032620133286566,16 days,2020-10-27,285 days
279,CTKUSDT,2021-01-27,0.9081,2021-02-19,2.6942,1.9668538707190835,23 days,2020-10-27,92 days
280,CTKUSDT,2021-07-31,1.1112,2021-09-05,2.865,1.5782937365010803,36 days,2020-10-27,277 days
281,CTSIBTC,2021-01-14,1.322e-06,2021-02-11,6.6e-06,3.9924357034795763,28 days,2020-04-23,266 days
282,CTSIBTC,2021-03-14,5.12e-06,2021-05-08,2.92e-05,4.703125,55 days,2020-04-23,325 days
283,CTSIBTC,2023-04-02,5.066e-06,2023-04-18,1.051e-05,1.0746150809317012,16 days,2020-04-23,1074 days
284,CTSIUSDT,2020-07-27,0.051464,2020-08-10,0.1058,1.0558060003108969,14 days,2020-04-23,95 days
285,CTSIUSDT,2021-01-26,0.06058,2021-02-11,0.316,4.216242984483327,16 days,2020-04-23,278 days
286,CTSIUSDT,2021-02-23,0.170802,2021-04-10,0.69396,3.0629500825517266,46 days,2020-04-23,306 days
287,CTSIUSDT,2021-04-25,0.459018,2021-05-08,1.71871,2.744319394882118,13 days,2020-04-23,367 days
288,CTSIUSDT,2023-04-02,0.14174,2023-04-18,0.3194,1.253421758148723,16 days,2020-04-23,1074 days
289,CTXCBTC,2021-11-18,3.412e-06,2021-12-03,1.618e-05,3.742086752637749,15 days,2019-11-22,727 days
290,CTXCBTC,2022-11-25,5.194e-06,2022-12-09,1.25e-05,1.4066230265691184,14 days,2019-11-22,1099 days
291,CTXCBTC,2023-11-13,3.836e-06,2023-11-28,1.16e-05,2.0239833159541187,15 days,2019-11-22,1452 days
292,CTXCUSDT,2020-03-16,0.03964,2020-04-17,0.0969,1.4445005045408676,32 days,2019-11-22,115 days
293,CTXCUSDT,2020-12-27,0.07186,2021-01-09,0.1826,1.5410520456443089,13 days,2019-11-22,401 days
294,CTXCUSDT,2021-01-27,0.10382,2021-02-13,0.2867,1.7615103062993644,17 days,2019-11-22,432 days
295,CTXCUSDT,2021-02-26,0.14596,2021-04-10,0.6929,3.7471910112359548,43 days,2019-11-22,462 days
296,CTXCUSDT,2022-11-25,0.08575999999999999,2022-12-09,0.2147,1.5034981343283584,14 days,2019-11-22,1099 days
297,CTXCUSDT,2023-11-13,0.14004,2023-11-28,0.4382,2.129105969722936,15 days,2019-11-22,1452 days
298,CVXUSDT,2022-03-13,16.138,2022-04-03,38.88,1.4092204734167801,21 days,2021-12-23,80 days
299,CYBERBTC,2023-08-25,0.000140784,2023-09-01,0.00045078,2.201926355267644,7 days,2023-08-15,10 days
300,CYBERUSDT,2023-08-25,3.6721999999999997,2023-09-01,11.617,2.163498720113284,7 days,2023-08-15,10 days
301,DARBTC,2021-11-09,2.801e-05,2021-11-24,7.283e-05,1.6001428061406642,15 days,2021-11-04,5 days
302,DARUSDT,2021-11-12,1.864554,2021-11-24,4.16525,1.233912238529965,12 days,2021-11-04,8 days
303,DASHBTC,2019-12-31,0.0057714,2020-01-15,0.015177,1.629691236095228,15 days,2017-10-20,802 days
304,DASHUSDT,2020-01-02,41.408,2020-01-15,133.6,2.2264296754250386,13 days,2019-03-28,280 days
305,DASHUSDT,2021-01-31,103.024,2021-02-19,323.84,2.1433452399440904,19 days,2019-03-28,675 days
306,DATABTC,2019-11-10,1.37e-06,2019-11-27,3.65e-06,1.664233576642336,17 days,2018-06-08,520 days
307,DATABTC,2020-03-18,1.17e-06,2020-03-30,7.06e-06,5.034188034188034,12 days,2018-06-08,649 days
308,DATABTC,2021-05-28,2.1279999999999998e-06,2021-06-10,5.19e-06,1.4389097744360906,13 days,2018-06-08,1085 days
309,DATABTC,2023-12-15,7.1e-07,2023-12-20,1.6e-06,1.2535211267605633,5 days,2018-06-08,2016 days
310,DATAUSDT,2020-04-20,0.038810000000000004,2020-04-30,0.08069,1.0791033238855963,10 days,2020-04-07,13 days
311,DATAUSDT,2021-01-27,0.055986,2021-02-12,0.13156,1.3498731825813597,16 days,2020-04-07,295 days
312,DATAUSDT,2021-02-26,0.077744,2021-04-06,0.25803,2.3189699526651575,39 days,2020-04-07,325 days
313,DATAUSDT,2021-06-07,0.073426,2021-06-10,0.19056,1.5952659820771933,3 days,2020-04-07,426 days
314,DATAUSDT,2023-12-15,0.03032,2023-12-20,0.0696,1.2955145118733509,5 days,2020-04-07,1347 days
315,DCRUSDT,2020-11-02,11.9978,2021-01-08,64.215,4.352231242394439,67 days,2020-07-30,95 days
316,DCRUSDT,2021-01-21,50.069599999999994,2021-02-21,162.22,2.239890073018359,31 days,2020-07-30,175 days
317,DEGOBTC,2021-07-02,0.0001303,2021-08-03,0.0002951,1.2647735993860325,32 days,2021-03-10,114 days
318,DEGOBTC,2023-12-13,4.1506e-05,2023-12-26,0.00010545,1.5405965402592396,13 days,2021-03-10,1008 days
319,DEGOUSDT,2021-07-02,4.4706,2021-08-29,13.09,1.9280186104773405,58 days,2021-03-10,114 days
320,DEGOUSDT,2023-12-11,1.7484,2023-12-26,4.482,1.5634866163349348,15 days,2021-03-10,1006 days
321,DENTUSDT,2021-01-21,0.0002714,2021-02-21,0.0023279,7.577376565954312,31 days,2019-08-27,513 days
322,DENTUSDT,2021-02-28,0.00157534,2021-04-05,0.0193248,11.267066157147028,36 days,2019-08-27,551 days
323,DENTUSDT,2021-08-03,0.00243108,2021-08-14,0.008111,2.3363772479720946,11 days,2019-08-27,707 days
324,DGBBTC,2021-04-13,1.4e-06,2021-04-21,2.84e-06,1.0285714285714287,8 days,2020-06-22,295 days
325,DGBUSDT,2021-01-27,0.024134,2021-02-19,0.08352,2.4606778818264687,23 days,2020-07-20,191 days
326,DIABTC,2022-05-12,1.2222000000000001e-05,2022-05-18,2.592e-05,1.120765832106038,6 days,2020-09-02,617 days
327,DODOUSDT,2021-07-20,0.844,2021-08-22,2.26,1.6777251184834123,33 days,2021-02-19,151 days
328,DOGEBTC,2021-01-14,2.5e-07,2021-02-07,2.01e-06,7.04,24 days,2019-07-05,559 days
329,DOGEBTC,2021-03-31,9.4e-07,2021-05-07,1.203e-05,11.797872340425533,37 days,2019-07-05,635 days
330,DOGEBTC,2022-10-16,3.064e-06,2022-11-01,6.93e-06,1.2617493472584858,16 days,2019-07-05,1199 days
331,DOGEUSDT,2020-12-11,0.00312506,2021-01-02,0.0105264,2.368383327040121,22 days,2019-07-05,525 days
332,DOGEUSDT,2021-01-27,0.00819374,2021-02-08,0.0787,8.60489349186086,12 days,2019-07-05,572 days
333,DOGEUSDT,2021-03-31,0.0546047,2021-05-07,0.68982,11.632978479874444,37 days,2019-07-05,635 days
334,DOGEUSDT,2022-10-15,0.058772,2022-11-01,0.14211,1.4179881576260804,17 days,2019-07-05,1198 days
335,DOTBTC,2020-08-20,0.0002483,2020-09-03,0.0005588,1.2505034232782923,14 days,2020-08-18,2 days
336,DOTBTC,2021-01-08,0.00023724800000000002,2021-01-23,0.00058453,1.463793161586188,15 days,2020-08-18,143 days
337,DOTUSDT,2020-12-23,4.96676,2021-02-21,39.5863,6.970246196715767,60 days,2020-08-18,127 days
338,DOTUSDT,2021-07-20,11.8132,2021-09-14,37.36,2.1625639115565636,56 days,2020-08-18,336 days
339,DUSKBTC,2019-08-05,8.76e-06,2019-08-16,2.498e-05,1.8515981735159817,11 days,2019-07-22,14 days
340,DUSKBTC,2020-07-27,4.908e-06,2020-08-14,9.88e-06,1.0130399348003258,18 days,2019-07-22,371 days
341,DUSKBTC,2021-01-28,2.0259999999999997e-06,2021-03-19,7.36e-06,2.632773938795657,50 days,2019-07-22,556 days
342,DUSKBTC,2021-10-27,2.604e-06,2021-12-29,2.122e-05,7.14900153609831,63 days,2019-07-22,828 days
343,DUSKBTC,2023-01-19,4.446e-06,2023-02-15,1.163e-05,1.615834457939721,27 days,2019-07-22,1277 days
344,DUSKUSDT,2019-08-05,0.1025,2019-08-16,0.2589,1.5258536585365858,11 days,2019-07-22,14 days
345,DUSKUSDT,2020-07-02,0.030860000000000002,2020-08-14,0.1162,2.765392093324692,43 days,2019-07-22,346 days
346,DUSKUSDT,2021-01-27,0.06554,2021-02-18,0.2476,2.777845590479097,22 days,2019-07-22,555 days
347,DUSKUSDT,2021-02-23,0.19526,2021-03-19,0.4299,1.2016798115333402,24 days,2019-07-22,582 days
348,DUSKUSDT,2021-10-27,0.15954000000000002,2021-11-20,0.3541,1.2195060799799422,24 days,2019-07-22,828 days
349,DUSKUSDT,2021-12-05,0.24248,2022-01-16,1.0315,3.253959089409436,42 days,2019-07-22,867 days
350,DYDXBTC,2021-09-13,0.000242426,2021-09-29,0.00064334,1.6537582602526129,16 days,2021-09-09,4 days
351,DYDXBTC,2023-01-18,6.42e-05,2023-01-31,0.00013938,1.1710280373831776,13 days,2021-09-09,496 days
352,DYDXUSDT,2021-09-13,10.6282,2021-09-29,26.751,1.5169831203778628,16 days,2021-09-09,4 days
353,DYDXUSDT,2023-01-18,1.3546,2023-02-01,3.286,1.425808356710468,14 days,2021-09-09,496 days
354,EGLDBTC,2020-11-20,0.0004296,2020-12-15,0.001249,1.9073556797020481,25 days,2020-09-03,78 days
355,EGLDBTC,2021-01-11,0.000933,2021-02-09,0.004209,3.5112540192926045,29 days,2020-09-03,130 days
356,EGLDBTC,2021-08-27,0.0028766,2021-09-14,0.005958,1.0711951609539039,18 days,2020-09-03,358 days
357,EGLDUSDT,2020-11-18,7.6048,2021-02-09,195.334,24.68561960866821,83 days,2020-09-03,76 days
358,ELFBTC,2017-12-22,6.8436e-05,2018-01-09,0.00016701,1.4403822549535332,18 days,2017-12-21,1 days
359,ELFBTC,2020-01-28,6.832e-06,2020-02-17,1.438e-05,1.1048009367681497,20 days,2017-12-21,768 days
360,ELFBTC,2021-08-20,6.124e-06,2021-09-17,2.113e-05,2.4503592423252774,28 days,2017-12-21,1338 days
361,ELFUSDT,2023-11-27,0.4468,2023-12-23,0.9528,1.1324977618621308,26 days,2021-09-08,810 days
362,ENJBTC,2017-12-03,2.314e-06,2018-01-12,2.88e-05,11.445980985306825,40 days,2017-11-03,30 days
363,ENJBTC,2019-02-12,8.472e-06,2019-03-08,5.395e-05,5.368035882908405,24 days,2017-11-03,466 days
364,ENJBTC,2021-01-03,4.218e-06,2021-01-25,1.47e-05,2.4850640113798006,22 days,2017-11-03,1157 days
365,ENJBTC,2021-02-23,9.874e-06,2021-03-15,4.82e-05,3.881506988049422,20 days,2017-11-03,1208 days
366,ENJBTC,2021-10-19,2.6164000000000002e-05,2021-11-24,7.852e-05,2.001070172756459,36 days,2017-11-03,1446 days
367,ENJUSDT,2020-03-12,0.047324,2020-04-25,0.14889,2.146183754543149,44 days,2019-04-18,329 days
368,ENJUSDT,2020-12-30,0.130486,2021-01-25,0.4722,2.6187790261024175,26 days,2019-04-18,622 days
369,ENJUSDT,2021-02-23,0.51124,2021-03-15,2.67509,4.23255222596041,20 days,2019-04-18,677 days
370,ENJUSDT,2021-10-19,1.621,2021-11-24,4.485,1.766810610734115,36 days,2019-04-18,915 days
371,ENSBTC,2023-12-21,0.00020566,2024-01-14,0.0005688,1.765729845375863,24 days,2021-11-10,771 days
372,ENSUSDT,2023-12-21,9.011999999999999,2024-01-11,24.34,1.7008433200177544,21 days,2021-11-10,771 days
373,EOSBTC,2017-10-23,8.6388e-05,2017-12-21,0.0006778,6.845997129230912,59 days,2017-10-11,12 days
374,EOSBTC,2018-01-05,0.000562024,2018-01-26,0.00128877,1.2930871279518312,21 days,2017-10-11,86 days
375,EOSBTC,2018-03-28,0.000817534,2018-04-29,0.002275,1.782758882199395,32 days,2017-10-11,168 days
376,EOSBTC,2021-04-24,0.00010457999999999999,2021-05-11,0.0002558,1.4459743736852169,17 days,2017-10-11,1291 days
377,EOSUSDT,2021-01-27,2.66028,2021-02-13,5.5562,1.088577142255702,17 days,2018-05-28,975 days
378,EOSUSDT,2021-03-25,3.84736,2021-04-16,8.4974,1.2086313732013643,22 days,2018-05-28,1032 days
379,EOSUSDT,2021-04-25,5.28084,2021-05-11,14.5164,1.7488808598632033,16 days,2018-05-28,1063 days
380,ERNUSDT,2021-07-21,7.1566,2021-08-20,22.091,2.0868009948858397,30 days,2021-06-22,29 days
381,ERNUSDT,2022-09-21,1.434,2022-10-02,3.668,1.5578800557880057,11 days,2021-06-22,456 days
382,ETCBTC,2020-01-07,0.00061084,2020-01-29,0.0013143,1.151627267369524,22 days,2017-10-12,817 days
383,ETCBTC,2021-03-27,0.00021307999999999999,2021-05-06,0.0023741,10.141824666791816,40 days,2017-10-12,1262 days
384,ETCBTC,2022-07-11,0.0007142,2022-08-13,0.001781,1.4936992439092693,33 days,2017-10-12,1733 days
385,ETCUSDT,2020-01-02,4.4981,2020-02-05,12.3345,1.742157799959983,34 days,2018-06-12,569 days
386,ETCUSDT,2021-01-31,7.54882,2021-02-13,16.6377,1.204013342482666,13 days,2018-06-12,964 days
387,ETCUSDT,2021-03-25,11.47892,2021-05-06,133.864,10.66172427371216,42 days,2018-06-12,1017 days
388,ETCUSDT,2022-07-12,14.288,2022-08-13,43.55,2.048012318029115,32 days,2018-06-12,1491 days
389,ETHDOWNUSDT,2021-06-06,6.3e-05,2021-06-21,0.000129,1.0476190476190474,15 days,2020-07-13,328 days
390,ETHDOWNUSDT,2021-07-06,5.8e-05,2021-07-20,9.722,167619.6896551724,14 days,2020-07-13,358 days
391,ETHDOWNUSDT,2021-09-03,1.1164,2021-09-21,2.321,1.079003941239699,18 days,2020-07-13,417 days
392,ETHDOWNUSDT,2021-12-25,0.5279,2022-01-22,1.4188,1.6876302329986739,28 days,2020-07-13,530 days
393,ETHDOWNUSDT,2022-04-25,0.6574,2022-06-18,3.3775,4.137663522969273,54 days,2020-07-13,651 days
394,ETHDOWNUSDT,2022-11-04,0.65046,2022-11-09,1.496,1.2999108323340405,5 days,2020-07-13,844 days
395,ETHUPUSDT,2020-07-17,9.088,2020-08-14,28.09,2.090889084507043,28 days,2020-07-13,4 days
396,ETHUPUSDT,2020-12-23,37.7528,2021-01-09,129.144,2.420779385899854,17 days,2020-07-13,163 days
397,ETHUPUSDT,2021-01-21,75.2672,2021-02-19,187.208,1.4872454402448874,29 days,2020-07-13,192 days
398,ETHUPUSDT,2021-03-24,94.6842,2021-05-11,492.704,4.203655942596548,48 days,2020-07-13,254 days
399,ETHUPUSDT,2021-07-20,26.5408,2021-08-13,95.454,2.596500482276344,24 days,2020-07-13,372 days
400,ETHUPUSDT,2021-09-28,45.8778,2021-11-08,144.154,2.142129744669535,41 days,2020-07-13,442 days
401,ETHUPUSDT,2022-03-13,23.0488,2022-04-03,50.591,1.1949515809933706,21 days,2020-07-13,608 days
402,ETHUPUSDT,2023-10-12,2.8018,2023-11-09,6.152,1.1957313155828395,28 days,2020-07-13,1186 days
403,ETHBTC,2017-12-27,0.0486242,2018-02-01,0.113185,1.32775037944069,36 days,2017-07-14,166 days
404,ETHUSDT,2017-12-23,667.2239999999999,2018-01-13,1388.02,1.0802908768269728,21 days,2017-08-17,128 days
405,ETHUSDT,2018-04-06,390.48199999999997,2018-05-05,819.5,1.098688287808401,29 days,2017-08-17,232 days
406,ETHUSDT,2020-12-23,609.472,2021-02-19,1955.0,2.207694529034968,58 days,2017-08-17,1224 days
407,FARMBTC,2021-12-14,0.0018074,2022-01-01,0.004043,1.2369149053889565,18 days,2021-08-11,125 days
408,FARMUSDT,2021-12-17,86.3,2022-01-01,193.1,1.2375434530706837,15 days,2021-08-11,128 days
409,FETBTC,2019-05-11,1.5324e-05,2019-05-20,3.426e-05,1.235708692247455,9 days,2019-02-28,72 days
410,FETBTC,2020-06-28,2.9899999999999997e-06,2020-08-17,1.283e-05,3.2909698996655523,50 days,2019-02-28,486 days
411,FETBTC,2021-01-25,2.6e-06,2021-03-29,1.421e-05,4.465384615384615,63 days,2019-02-28,697 days
412,FETBTC,2023-01-01,5.544000000000001e-06,2023-01-17,1.321e-05,1.3827561327561328,16 days,2019-02-28,1403 days
413,FETUSDT,2019-05-09,0.10248,2019-05-20,0.2709,1.6434426229508192,11 days,2019-02-28,70 days
414,FETUSDT,2020-06-28,0.02742,2020-08-17,0.15761,4.74799416484318,50 days,2019-02-28,486 days
415,FETUSDT,2021-01-02,0.054682,2021-03-29,0.82,13.995793862697047,86 days,2019-02-28,674 days
416,FETUSDT,2023-01-01,0.09202,2023-02-07,0.5404,4.872636383394914,37 days,2019-02-28,1403 days
417,FETUSDT,2023-10-18,0.20468,2023-12-26,0.7666,2.745358608559703,69 days,2019-02-28,1693 days
418,FIDABTC,2022-11-13,1.3358e-05,2022-11-20,3.682e-05,1.756400658781255,7 days,2021-09-30,409 days
419,FIDAUSDT,2022-11-09,0.26972,2022-11-20,0.5986,1.2193385733353106,11 days,2021-09-30,405 days
420,FILBTC,2021-03-11,0.00076238,2021-03-31,0.0032489,3.261523124950812,20 days,2020-10-15,147 days
421,FILUSDT,2021-01-27,21.95344,2021-02-14,47.125,1.1465884162117645,18 days,2020-10-15,104 days
422,FILUSDT,2021-03-02,40.422900000000006,2021-03-31,190.856,3.721482130178685,29 days,2020-10-15,138 days
423,FIOBTC,2021-02-23,2.594e-06,2021-04-06,8.15e-06,2.141865844255975,42 days,2020-07-31,207 days
424,FIOUSDT,2021-01-15,0.06925999999999999,2021-03-13,0.3408,3.9205890846087215,57 days,2020-09-04,133 days
425,FIROBTC,2022-06-30,6.794e-05,2022-07-15,0.0003018,3.4421548425080952,15 days,2021-01-29,517 days
426,FIROUSDT,2021-03-25,7.2668,2021-04-17,14.747,1.0293664336434194,23 days,2021-01-29,55 days
427,FIROUSDT,2021-04-25,9.5112,2021-05-11,20.55,1.160610648498612,16 days,2021-01-29,86 days
428,FIROUSDT,2022-07-01,1.3208,2022-07-15,6.259,3.7387946698970325,14 days,2021-01-29,518 days
429,FISBTC,2021-07-30,1.9724e-05,2021-08-07,6.609e-05,2.350740214966538,8 days,2021-03-03,149 days
430,FISUSDT,2021-04-24,1.7978,2021-05-01,3.689,1.051952386249861,7 days,2021-03-03,52 days
431,FISUSDT,2021-07-22,0.7372,2021-08-07,2.944,2.9934888768312535,16 days,2021-03-03,141 days
432,FLMBTC,2021-01-09,3.99e-06,2021-02-13,1.332e-05,2.338345864661654,35 days,2020-09-28,103 days
433,FLMBTC,2021-03-25,8.378e-06,2021-04-06,1.904e-05,1.272618763428026,12 days,2020-09-28,178 days
434,FLMBTC,2022-05-28,3.14e-06,2022-06-20,6.54e-06,1.0828025477707006,23 days,2020-09-28,607 days
435,FLMBTC,2022-06-30,5.0219999999999995e-06,2022-08-01,1.104e-05,1.1983273596176822,32 days,2020-09-28,640 days
436,FLMUSDT,2021-01-21,0.17432,2021-02-13,0.627,2.5968334098210186,23 days,2020-09-28,115 days
437,FLMUSDT,2021-03-25,0.44908,2021-04-06,1.1015,1.452792375523292,12 days,2020-09-28,178 days
438,FLMUSDT,2022-07-01,0.09974000000000001,2022-08-01,0.2565,1.5716863845999598,31 days,2020-09-28,641 days
439,FLOKIUSDT,2023-10-11,1.7072e-05,2023-10-26,3.854e-05,1.2574976569821932,15 days,2023-05-05,159 days
440,FLUXBTC,2021-12-14,3.1162e-05,2022-01-12,6.929e-05,1.2235414928438484,29 days,2021-12-10,4 days
441,FLUXBTC,2022-07-29,2.3424e-05,2022-09-05,6.817e-05,1.9102629781420768,38 days,2021-12-10,231 days
442,FLUXUSDT,2021-12-13,1.4582,2022-01-03,3.129,1.1457961870799618,21 days,2021-12-10,3 days
443,FLUXUSDT,2022-07-29,0.5502,2022-08-13,1.115,1.0265358051617592,15 days,2021-12-10,231 days
444,FORBTC,2021-01-08,3.4399999999999996e-07,2021-02-21,1.38e-06,3.011627906976744,44 days,2020-11-17,52 days
445,FORBTC,2021-03-24,1.116e-06,2021-04-12,2.56e-06,1.2939068100358424,19 days,2020-11-17,127 days
446,FORBTC,2021-07-30,7.24e-07,2021-08-19,2.39e-06,2.3011049723756907,20 days,2020-11-17,255 days
447,FRONTBTC,2023-09-12,5.952e-06,2023-09-26,2.327e-05,2.9096102150537635,14 days,2021-02-19,935 days
448,FRONTUSDT,2023-09-12,0.15248,2023-09-26,0.6086,2.9913431269674713,14 days,2021-10-04,708 days
449,FTMBTC,2020-08-01,1.178e-06,2020-09-02,4.83e-06,3.100169779286927,32 days,2019-06-11,417 days
450,FTMBTC,2021-01-14,6.34e-07,2021-02-24,1.308e-05,19.630914826498426,41 days,2019-06-11,583 days
451,FTMBTC,2021-04-24,6.2e-06,2021-05-18,1.596e-05,1.5741935483870968,24 days,2019-06-11,683 days
452,FTMBTC,2021-08-09,6.1280000000000005e-06,2021-09-09,3.569e-05,4.824086161879895,31 days,2019-06-11,790 days
453,FTMBTC,2021-12-14,2.8076e-05,2022-01-16,7.687e-05,1.7379256304316855,33 days,2019-06-11,917 days
454,FTMUSDT,2020-08-01,0.013134,2020-09-02,0.05516,3.1997868128521394,32 days,2019-06-11,417 days
455,FTMUSDT,2020-12-29,0.01647,2021-02-24,0.64956,38.438979963570134,57 days,2019-06-11,567 days
456,FTMUSDT,2021-04-24,0.32057599999999997,2021-05-09,0.91838,1.864780894390098,15 days,2019-06-11,683 days
457,FTMUSDT,2021-08-03,0.24760400000000002,2021-09-09,1.6583,5.697387764333372,37 days,2019-06-11,784 days
458,FTMUSDT,2021-09-28,1.187,2021-11-08,3.1634,1.665037910699242,41 days,2019-06-11,840 days
459,FTMUSDT,2021-12-13,1.33466,2022-01-16,3.3092,1.4794329642006205,34 days,2019-06-11,916 days
460,FTMUSDT,2022-12-31,0.20468,2023-02-03,0.6325,2.090189564197772,34 days,2019-06-11,1299 days
461,FXSBTC,2021-06-24,4.8820000000000004e-05,2021-07-20,0.0001173,1.4027038099139695,26 days,2021-02-18,126 days
462,FXSBTC,2021-08-09,7.064e-05,2021-08-27,0.00014257,1.0182616081540206,18 days,2021-02-18,172 days
463,FXSBTC,2021-10-20,9.308e-05,2021-11-11,0.00038611,3.148152127202407,22 days,2021-02-18,244 days
464,FXSBTC,2021-12-20,0.00030234,2022-01-12,0.00094003,2.1091817159489317,23 days,2021-02-18,305 days
465,FXSUSDT,2021-12-20,14.1662,2022-01-12,41.49,1.9288023605483475,23 days,2021-12-10,10 days
466,FXSUSDT,2022-03-19,17.7128,2022-04-03,38.442,1.1702949279616999,15 days,2021-12-10,99 days
467,FXSUSDT,2022-12-31,4.2644,2023-02-07,12.702,1.9786136384954505,38 days,2021-12-10,386 days
468,GALABTC,2021-11-10,1.324e-06,2021-11-26,1.324e-05,9.000000000000002,16 days,2021-09-13,58 days
469,GALABTC,2022-12-29,9.98e-07,2023-01-13,2.55e-06,1.5551102204408818,15 days,2021-09-13,472 days
470,GALAUSDT,2021-11-10,0.084916,2021-11-25,0.74223,7.74075557021056,15 days,2021-09-13,58 days
471,GALAUSDT,2022-01-22,0.18548,2022-02-08,0.38096,1.0539141686435196,17 days,2021-09-13,131 days
472,GALAUSDT,2022-12-29,0.016568,2023-01-29,0.05911,2.5677209077740226,31 days,2021-09-13,472 days
473,GALUSDT,2023-01-07,1.1844,2023-02-02,2.559,1.160587639311044,26 days,2022-05-05,247 days
474,GASBTC,2017-09-20,0.0023536,2017-10-02,0.007149,2.0374745071380014,12 days,2017-08-07,44 days
475,GASBTC,2017-12-07,0.0010904,2018-01-15,0.006393,4.8629860601614086,39 days,2017-08-07,122 days
476,GASBTC,2021-02-08,5.48e-05,2021-02-28,0.0002659,3.8521897810218984,20 days,2017-08-07,1281 days
477,GASBTC,2023-10-20,7.988e-05,2023-11-10,0.0006074,6.603905858788183,21 days,2017-08-07,2265 days
478,GASUSDT,2023-10-14,2.2736,2023-11-10,22.674,8.972730471498943,27 days,2023-03-17,211 days
479,GLMBTC,2021-02-05,4.018e-06,2021-03-06,8.68e-06,1.160278745644599,29 days,2020-12-10,57 days
480,GMTBTC,2022-03-10,3.554e-06,2022-04-29,9.908e-05,26.87844682048396,50 days,2022-03-09,1 days
481,GMTUSDT,2022-03-10,0.143404,2022-04-01,2.69002,17.758333100889796,22 days,2022-03-09,1 days
482,GMTUSDT,2022-12-30,0.2341,2023-01-26,0.614,1.6228107646305,27 days,2022-03-09,296 days
483,GRTBTC,2021-01-08,8.166e-06,2021-02-13,4.95e-05,5.061719324026451,36 days,2020-12-17,22 days
484,GRTBTC,2023-01-22,3.818e-06,2023-02-07,8.96e-06,1.346778418019906,16 days,2020-12-17,766 days
485,GRTUSDT,2021-01-12,0.293746,2021-02-13,2.3329,6.941895379000905,32 days,2020-12-17,26 days
486,GRTUSDT,2023-01-22,0.08774,2023-02-07,0.2085,1.3763391839525871,16 days,2020-12-17,766 days
487,HARDBTC,2020-11-26,2.552e-05,2020-12-07,5.352e-05,1.0971786833855801,11 days,2020-11-06,20 days
488,HARDBTC,2021-01-14,1.3298e-05,2021-02-19,4.204e-05,2.1613776507745524,36 days,2020-11-06,69 days
489,HARDUSDT,2020-11-26,0.47416,2020-12-07,1.0254,1.162561160789607,11 days,2020-11-06,20 days
490,HARDUSDT,2021-01-24,0.6967,2021-02-19,2.35,2.373044351944883,26 days,2020-11-06,79 days
491,HBARBTC,2020-01-21,1.224e-06,2020-02-12,6.66e-06,4.4411764705882355,22 days,2019-09-29,114 days
492,HBARBTC,2020-02-26,3.848e-06,2020-03-14,7.73e-06,1.0088357588357588,17 days,2019-09-29,150 days
