,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
84,ARUSDT,2021-08-03,11.4018,2021-08-31,65.79,4.770141556596327,28 days,2021-05-14,81 days
85,ARUSDT,2023-10-19,3.822,2023-11-19,9.107,1.3827838827838825,31 days,2021-05-14,888 days
86,ASRUSDT,2021-01-31,3.7388,2021-02-18,8.662,1.3167861345886385,18 days,2020-12-30,32 days
87,ASRUSDT,2021-02-26,6.0432,2021-03-13,12.23,1.023762245168123,15 days,2020-12-30,58 days
88,ASRUSDT,2022-05-12,1.3974,2022-06-08,4.1,1.93402032345785,27 days,2020-12-30,498 days
89,ASTRUSDT,2022-03-21,0.1046,2022-04-10,0.3086,1.9502868068833652,20 days,2022-02-28,21 days
90,ASTRUSDT,2023-12-12,0.0789,2024-01-21,0.187,1.3700887198986058,40 days,2022-02-28,652 days
91,ASTBTC,2017-12-12,1.4992e-05,2018-01-09,0.00012546,7.368463180362861,28 days,2017-10-19,54 days
92,ASTBTC,2019-05-14,4.168e-06,2019-05-23,8.88e-06,1.1305182341650672,9 days,2017-10-19,572 days
93,ASTBTC,2020-05-14,1.508e-06,2020-06-12,7.33e-06,3.860742705570292,29 days,2017-10-19,938 days
94,ASTBTC,2020-08-01,4.612e-06,2020-08-17,2.55e-05,4.5290546400693845,16 days,2017-10-19,1017 days
95,ASTBTC,2021-01-02,2.112e-06,2021-02-12,7.34e-06,2.475378787878788,41 days,2017-10-19,1171 days
96,ASTBTC,2021-03-10,4.502e-06,2021-03-28,1.208e-05,1.6832518880497553,18 days,2017-10-19,1238 days
97,ASTBTC,2021-10-19,3.7739999999999998e-06,2021-11-24,1.06e-05,1.8086910439851618,36 days,2017-10-19,1461 days
98,ASTBTC,2022-06-11,2.304e-06,2022-07-11,6.49e-06,1.816840277777778,30 days,2017-10-19,1696 days
99,ATABTC,2021-08-12,1.1328e-05,2021-08-28,3.766e-05,2.3245056497175143,16 days,2021-06-07,66 days
100,ATAUSDT,2021-08-02,0.392656,2021-08-28,1.8381,3.681196772747647,26 days,2021-06-07,56 days
101,ATMUSDT,2021-01-31,4.245,2021-02-19,9.719,1.289517078916372,19 days,2020-12-30,32 days
102,ATMUSDT,2021-05-04,9.406,2021-05-21,52.11,4.5400807994896875,17 days,2020-12-30,125 days
103,ATOMBTC,2020-07-29,0.00033422,2020-08-25,0.0007406,1.2159056908623065,27 days,2019-04-29,457 days
104,ATOMBTC,2021-01-27,0.00023392,2021-02-16,0.0005106,1.1827975376196993,20 days,2019-04-29,639 days
