,last_calculation,market,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg,logreg_proba,rf_proba,logreg_rf_combine
290,2024-03-14 11:27:21.599051,trxusdt,0.6155598559635499,0.6968904912122579,0.6679666288196674,0.6488173823535993,0.4637221452180403,0.8578583655614024,0.6584691448547528,0.969017952575948,0.9,0.934508976287974
78,2024-03-14 11:27:21.599051,ctsiusdt,0.596451529956287,0.8733762566361686,0.6329404060248854,0.5797405713428808,0.5052261457698918,0.7510963086316959,0.6564718697269681,0.9653707385997126,0.9,0.9326853692998562
166,2024-03-14 11:27:21.599051,kmdusdt,0.5347904274450133,1.0,0.5872188826188218,0.6155598559635499,0.3466487334678323,0.6329404060248854,0.6195263842533505,0.9590162119627947,0.9,0.9295081059813974
101,2024-03-14 11:27:21.599051,elfusdt,0.5986083826076859,0.665511384502387,0.4291566744842095,0.4180905826880651,0.4886305525208619,0.7752155604571888,0.562535522876733,0.8482862690321195,1.0,0.9241431345160598
217,2024-03-14 11:27:21.599051,opusdt,0.6148844666123778,0.8117073990089864,0.47844842827339906,0.5687095460100484,0.5043741710094296,0.7510963086316959,0.6215367199243228,0.9481922605406894,0.9,0.9240961302703448
159,2024-03-14 11:27:21.599051,jstusdt,0.6130840772768402,0.6329404060248854,0.4662036807994855,0.6679666288196674,0.40819343258367646,0.7752155604571886,0.5939339643269572,0.9312295865832867,0.9,0.9156147932916434
189,2024-03-14 11:27:21.599051,mavusdt,0.4789016226377505,0.5489787707381725,0.5363900028549549,0.5347904274450132,0.5548671677279533,0.7339693388390527,0.564649555040483,0.8304000609029326,1.0,0.9152000304514663
150,2024-03-14 11:27:21.599051,imxusdt,0.5682124575541027,0.7211789578410646,0.5628733265979454,0.4338701531900567,0.5483761584779351,0.8009352432816385,0.6059077161571238,0.9089053390610863,0.9,0.9044526695305432
51,2024-03-14 11:27:21.599051,blzusdt,0.4373716970342731,0.6234059421906285,0.46664338516202525,0.5639404842944665,0.5500754194952404,0.7752155604571888,0.5694420814389705,0.8941442914639175,0.9,0.8970721457319588
205,2024-03-14 11:27:21.599051,nmrusdt,0.5921841193252533,0.7752155604571888,0.3683098877042202,0.7383342175066313,0.48357877459370247,0.8213735592500133,0.6298326864728349,0.9758901752982916,0.8,0.8879450876491458
33,2024-03-14 11:27:21.599051,atomusdt,0.5760163207298483,1.0,0.3181460384703458,0.5232000618668317,0.39355352863159365,0.8380057803468208,0.6081536216742401,0.9749232538073466,0.8,0.8874616269036733
315,2024-03-14 11:27:21.599051,woousdt,0.48696513820018555,0.7752155604571886,0.6136340961243685,0.5441664060056303,0.5452911209895845,0.8578583655614024,0.6371884478897266,0.9630271023580834,0.8,0.8815135511790417
183,2024-03-14 11:27:21.599051,luncusdt,0.7016164158157092,0.7211789578410646,0.5085057874430025,0.6178219087596684,0.4647767828007516,0.8380057803468209,0.641984272167836,0.9622951016354915,0.8,0.8811475508177458
202,2024-03-14 11:27:21.599051,neousdt,0.548585410378643,1.0,0.43597973559110303,0.5519072635906807,0.41144000454081053,0.6968904912122579,0.6074671508855826,0.9591485006281868,0.8,0.8795742503140934
309,2024-03-14 11:27:21.599051,wanusdt,0.46299401197604795,0.6329404060248854,0.4414433118109909,0.5469059455963785,0.36050376838941117,1.0,0.5741312406329523,0.955421688275801,0.8,0.8777108441379005
81,2024-03-14 11:27:21.599051,cvxusdt,0.42567333749792147,1.0,0.6178219087596684,0.5797405713428807,0.5274655903752833,0.36499244712990936,0.5859489758509439,0.8518107424193759,0.9,0.875905371209688
