,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg prob,logreg,rf,avg,init_price,max_price,cur_price,% to max,% to last
567,WANBTC,-0.235882512,-1.107987916,80,96,-16,-0.274134115,-1.998583837,-1.724449722,12.8440367,7.974370176,4.869666521,32.8430685,-0.714688877,2.346306542,0.486487416,0.512636242,0.558120675,0.364992447,0.515038391,1,0.572879195,0.864323481,0.8,0.83216174,4.36E-06,4.39E-06,4.38E-06,0.69%,0.46%
454,REQBTC,-1.871923971,-0.234591598,68,64,4,-0.290096513,0.857476142,1.147572655,17.64705882,18.30065359,-0.653594771,47.95310832,-0.661601434,2.346306542,0.486756862,0.491046672,0.558690008,0.604318361,0.506543516,0.632940406,0.546715971,0.754651184,0.9,0.827325592,2.03E-06,2.07E-06,2.07E-06,1.97%,1.97%
403,OXTUSDT,1.043249329,0.656431998,100,0,100,1.15892365,4.895457461,3.736533811,87.97468354,83.52321418,4.451469364,66.51285557,0.521449248,2.346306542,0.462994012,0.346648733,0.544930707,0.508505787,0.41167388,1,0.545792187,0.851454841,0.8,0.825727421,0.1133,0.1562,0.1505,37.86%,32.83%
139,CRVBTC,-0.207118396,-0.457501187,0,84,-84,0.132221054,-1.063084514,-1.195305568,18.5483871,20.05306521,-1.504678118,39.27178569,-0.686223936,2.346306542,0.484978918,0.424218228,0.444555592,0.644773929,0.498701433,0.77521556,0.545407277,0.8374411,0.8,0.81872055,1.02E-05,1.03E-05,1.02E-05,1.28%,0.79%
315,LINABTC,-0.208787376,0.475108678,8,76,-68,0.400693431,-0.702633391,-1.103326821,100,83.33333333,16.66666667,55.14007722,-0.743454626,2.346306542,0.48512948,0.404601743,0.495925427,0.632940406,0.543692764,1,0.59371497,0.93666247,0.7,0.818331235,1.80E-07,1.90E-07,1.90E-07,5.56%,5.56%
273,IDUSDT,-1.704642456,0.060623099,72,0,72,1.359630274,10.74290242,9.383272148,77.49593496,81.06233062,-3.566395664,69.88908346,0.032707793,3.361036846,0.765098952,0.462994012,0.252265708,0.59645153,0.33218005,1,0.568165042,0.929646855,0.7,0.814823427,0.62589,0.75475,0.74626,20.59%,19.23%
26,ALGOUSDT,0.922248886,0.888491568,96,0,96,1.862508928,1.82972773,-0.032781198,85.06024096,88.27152622,-3.211285252,62.08567546,0.213310403,2.346306542,0.566144706,0.392699939,0.441443312,0.424959695,0.446729836,1,0.545329581,0.828677982,0.8,0.814338991,0.1899,0.2814,0.2742,48.18%,44.39%
543,UMAUSDT,0.565252628,0.208165254,0,80,-80,-1.402420353,2.176484902,3.578905254,25.54347826,38.69565217,-13.15217391,49.74210199,0.555793657,2.346306542,0.534790427,0.523200062,0.613634096,0.479073082,0.521054455,1,0.611958687,0.927191819,0.7,0.81359591,4.127,4.689,4.172,13.62%,1.09%
211,FIROBTC,-0.302132287,0.274916347,0,96,-96,0.277561781,-1.528154465,-1.805716246,33.56449376,27.99537679,5.569116967,43.35298544,-0.69422466,2.346306542,0.52077484,0.457411451,0.455192697,0.372885279,0.47555344,0.873376257,0.525865661,0.723184519,0.9,0.81159226,3.51E-05,3.56E-05,3.52E-05,1.57%,0.46%
602,ZILBTC,-0.269943497,0.235788286,0,84,-84,0.179469646,-1.594514194,-1.773983841,50,52.38095238,-2.380952381,39.26290188,-0.640678316,2.346306542,0.510737115,0.477438365,0.425578468,0.711263201,0.499577088,0.632940406,0.54292244,0.815174701,0.8,0.807587351,4.40E-07,4.50E-07,4.40E-07,2.27%,0.00%
