,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
319,319,krl,19-10-2021,0.2150110511099436,07-11-2021,4.6750755933778425,20.743420020709976,39,21-07-2018,1186,bullish
320,320,kub,02-11-2021,0.7462707387927773,28-12-2021,15.46232344243217,19.719455605944255,81,24-05-2021,162,bullish
322,322,lcx,18-03-2020,0.0005933946500987582,26-05-2020,0.01947961527337009,31.82741977894158,74,22-11-2019,117,bearish
323,323,lcx,14-02-2021,0.013771531455440338,23-03-2021,0.1347151359439916,8.782146334260696,43,22-11-2019,450,bearish
324,324,lend,09-06-2020,0.050057632800419735,27-08-2020,0.8273908203828989,15.52876442802867,90,20-12-2017,902,bullish
325,325,lend,05-01-2021,0.7534376236387955,13-02-2021,5.30885240964588,6.046173754910583,51,20-12-2017,1112,bullish
326,326,lina,05-01-2021,0.00842082279040472,12-02-2021,0.10864547137063447,11.902001867849872,65,17-09-2020,110,bullish
328,328,ln,18-02-2021,18.60653820340219,02-04-2021,330.7740203347944,16.777300469267978,52,18-10-2018,854,bullish
331,331,lpt,14-03-2021,3.2914404352437723,05-04-2021,39.74466869768233,11.075159638955684,38,11-12-2018,824,bullish
333,333,lrc,31-10-2021,0.3694531198929548,25-11-2021,3.410250950192005,8.230537696312025,44,30-10-2017,1462,bullish
334,334,lsk,19-05-2017,0.2490710175633873,11-06-2017,3.909566988029642,14.696595397875535,65,06-04-2016,408,bullish
335,335,ltc,24-10-2013,1.7158799999999998,28-11-2013,50.26600000000001,28.294589365223683,37,28-04-2013,179,bearish
337,337,ltc,08-12-2017,58.91611214722564,18-12-2017,360.661761688956,5.121615098900235,36,28-04-2013,1685,bullish
341,341,luffy,20-04-2022,1.0577405999661855e-11,09-05-2022,1.677166558307199e-09,157.56123499096242,20,16-08-2021,247,bearish
343,343,lyxe,24-01-2021,1.4805889528285667,13-03-2021,25.237710576391486,16.045723952064154,50,22-05-2020,247,bullish
347,347,mana,29-10-2021,0.6460456140156315,26-11-2021,5.1988865171438094,7.047243730715923,57,28-10-2017,1462,bullish
348,348,map,15-03-2021,0.012723872573074536,10-04-2021,0.25908175481567863,19.36186336571236,32,09-12-2019,462,bearish
349,349,maps,25-01-2022,0.11836118984856385,03-04-2022,1.809228614456352,14.285657543415649,70,01-02-2021,358,bearish
350,350,matic,26-01-2021,0.026039878633699262,14-03-2021,0.4229744479804992,15.243334077337474,61,27-04-2019,640,bullish
351,351,matic,26-04-2021,0.3266754095884679,19-05-2021,2.450046072959683,6.499940310922542,29,27-04-2019,730,bullish
352,352,mbox,24-07-2021,0.8319287651047812,27-08-2021,9.77526708676676,10.75012512704206,37,13-04-2021,102,bullish
353,353,med,17-02-2021,0.004470342373522422,05-04-2021,0.28572992370496186,62.916787536749666,67,12-01-2018,1132,bullish
354,354,meta,19-02-2019,0.0038335260886459056,20-03-2019,0.025718859571663026,5.708930362528862,50,10-10-2018,132,bullish
355,355,meta,18-02-2021,0.008420544478792069,02-04-2021,0.4080173708688121,47.454986716885365,60,10-10-2018,862,bullish
359,359,miota,08-11-2017,0.35117046384067263,19-12-2017,5.248778961646219,13.946527405071313,44,14-06-2017,147,bearish
361,361,mix,18-02-2021,0.0018325355909812925,05-04-2021,0.0168106327911814,8.17342772163,62,10-05-2019,650,bullish
362,362,mix,01-10-2021,0.003762514702588336,24-11-2021,0.0502271668300934,12.34936094616209,56,10-05-2019,875,bearish
363,363,mln,31-07-2020,10.13714955124754,31-08-2020,81.29596079982909,7.019607522691063,43,22-02-2017,1255,bearish
364,364,mmpro,01-04-2022,0.10818647991814342,10-04-2022,0.8242020468680619,6.618346095479523,30,15-11-2021,137,bearish
366,366,mnw,15-01-2021,0.4189278919031522,09-02-2021,4.0487889904918966,8.664644127891814,27,24-05-2018,967,bearish
368,368,mtl,28-02-2021,0.6373726819012803,04-04-2021,7.127811252417338,10.183113827776717,55,15-07-2017,1324,bullish
370,370,mtrg,25-03-2022,1.0349920824261327,26-04-2022,6.259702467570532,5.048067974488381,41,18-07-2020,615,bearish
371,371,mvl,18-02-2021,0.002484832188960975,03-04-2021,0.06893622660569647,26.7428097204914,60,28-07-2018,936,bullish
372,372,myst,04-12-2017,0.511233382401966,09-01-2018,3.8629553155786,6.5561484217423125,49,15-07-2017,142,bullish
374,374,nct,23-02-2021,0.0012669772347185665,02-04-2021,0.016787888829896395,12.250347654135624,41,07-04-2018,1053,bearish
375,375,nct,12-01-2022,0.019015871006965883,14-01-2022,0.16156400410996566,7.496271564462212,3,07-04-2018,1376,bearish
376,376,near,21-08-2021,1.6921580553193036,09-09-2021,10.365184120839684,5.1254231472389336,50,14-10-2020,311,bullish
377,377,neo,28-04-2017,0.174703,19-06-2017,11.58,65.28392185594981,57,09-09-2016,231,bearish
378,378,neo,21-07-2017,5.02,15-08-2017,47.90401386765125,8.542632244552042,30,09-09-2016,315,bearish
379,379,neo,13-12-2017,32.5061197521549,15-01-2018,198.38136805361725,5.102892918816192,47,09-09-2016,460,bullish
381,381,nex,02-09-2021,2.99328804733379e-37,27-10-2021,1.7240406244910296,5.759688333458863e+36,60,08-11-2018,1029,bearish
383,383,nftx,28-06-2021,36.03965371082784,29-08-2021,259.7859787625204,6.208337262254816,67,05-01-2021,174,bearish
386,386,nim,26-05-2020,0.0005150964058271238,20-07-2020,0.010666596797823972,19.707961999260945,82,28-07-2018,668,bullish
387,387,nkn,09-03-2021,0.04036870940128783,10-04-2021,1.3176784755353377,31.641085015546757,61,28-05-2018,1016,bullish
388,388,noia,11-07-2020,0.01524185718274058,16-08-2020,0.1382141681005235,8.068066079049279,44,24-07-2019,353,bearish
389,389,noia,17-11-2020,0.043353536370124936,05-01-2021,0.2796271522272667,5.4499271717995015,61,24-07-2019,482,bearish
391,391,npxs,24-01-2021,0.00032023501535325934,27-03-2021,0.00846050981653733,25.419689949284052,63,24-03-2018,1037,bullish
394,394,nrv,13-08-2021,0.4420100328591027,26-08-2021,3.225060097433989,6.296350439316893,36,08-03-2021,158,bullish
396,396,nu,15-10-2021,0.25565349621880584,17-10-2021,1.565787668400518,5.124647976886688,25,15-10-2020,365,bearish
399,399,nxs,13-04-2016,0.00295685,25-05-2016,0.0187056,5.326191724301198,45,25-01-2015,444,bullish
400,400,nxs,23-11-2017,0.8558514120547114,05-01-2018,13.751980730624465,15.068187230782245,54,25-01-2015,1033,bearish
401,401,nxs,06-01-2021,0.19753840401983425,22-02-2021,1.955385268105144,8.898760080641381,50,25-01-2015,2173,bearish
402,402,ocean,11-07-2020,0.06689727275426939,18-08-2020,0.6341248662531069,8.479083976747573,51,04-05-2019,434,bullish
403,403,ogn,08-02-2021,0.1386471875489867,09-04-2021,3.1012786637992664,21.368132514073,86,10-01-2020,395,bullish
404,404,olt,27-02-2021,0.004106211865245542,10-04-2021,0.03378872465527556,7.228685163875506,43,13-07-2018,960,bullish
405,405,olt,30-03-2022,0.013109020595411105,25-04-2022,0.10107200999853752,6.710111465834329,40,13-07-2018,1356,bearish
406,406,om,18-01-2021,0.05201023810230857,16-03-2021,0.7333288009803116,13.099700899999561,62,18-08-2020,153,bearish
